Cont,Debit_initial,Credit_initial,Balanta_initiala_moneda,Moneda,State,data,ref
101200,0,0,0,RON,draft,2021-03-31,balanta mart
101200,0,0,0,RON,draft,2021-03-31,balanta mart
106100,0,0,0,RON,draft,2021-03-31,balanta mart
106100,0,0,0,RON,draft,2021-03-31,balanta mart
117100,28161,0,0,RON,draft,2021-03-31,balanta mart
117100,0,0,0,RON,draft,2021-03-31,balanta mart
121000,262728.92,0,0,RON,draft,2021-03-31,balanta mart
121000,0,291656.68,0,RON,draft,2021-03-31,balanta mart
205000,0,0,0,RON,draft,2021-03-31,balanta mart
205000,0,0,0,RON,draft,2021-03-31,balanta mart
214000,0,0,0,RON,draft,2021-03-31,balanta mart
214000,0,0,0,RON,draft,2021-03-31,balanta mart
267800,29429.63,0,0,RON,draft,2021-03-31,balanta mart
267800,0,0,0,RON,draft,2021-03-31,balanta mart
280500,0,0,0,RON,draft,2021-03-31,balanta mart
280500,0,2003.01,0,RON,draft,2021-03-31,balanta mart
281400,0,0,0,RON,draft,2021-03-31,balanta mart
281400,0,880.93,0,RON,draft,2021-03-31,balanta mart
302800,1342.3,0,0,RON,draft,2021-03-31,balanta mart
302800,0,1342.3,0,RON,draft,2021-03-31,balanta mart
303000,521.84,0,0,RON,draft,2021-03-31,balanta mart
303000,0,521.84,0,RON,draft,2021-03-31,balanta mart
371000,796788.44,0,0,RON,draft,2021-03-31,balanta mart
371000,0,198703.56,0,RON,draft,2021-03-31,balanta mart
401000,433197.86,0,0,RON,draft,2021-03-31,balanta mart
401000,0,974233.73,0,RON,draft,2021-03-31,balanta mart
409000,128974.56,0,0,RON,draft,2021-03-31,balanta mart
409000,0,0,0,RON,draft,2021-03-31,balanta mart
411100,313957.49,0,0,RON,draft,2021-03-31,balanta mart
411100,0,69748.17,0,RON,draft,2021-03-31,balanta mart
419000,11522.8,0,0,RON,draft,2021-03-31,balanta mart
419000,0,0,0,RON,draft,2021-03-31,balanta mart
421000,18613,0,0,RON,draft,2021-03-31,balanta mart
421000,0,18748,0,RON,draft,2021-03-31,balanta mart
431500,9630,0,0,RON,draft,2021-03-31,balanta mart
431500,0,4688,0,RON,draft,2021-03-31,balanta mart
431600,3477,0,0,RON,draft,2021-03-31,balanta mart
431600,0,1875,0,RON,draft,2021-03-31,balanta mart
436000,836,0,0,RON,draft,2021-03-31,balanta mart
436000,0,422,0,RON,draft,2021-03-31,balanta mart
438200,0,0,0,RON,draft,2021-03-31,balanta mart
438200,0,0,0,RON,draft,2021-03-31,balanta mart
441800,0,0,0,RON,draft,2021-03-31,balanta mart
441800,0,7246,0,RON,draft,2021-03-31,balanta mart
442300,32152,0,0,RON,draft,2021-03-31,balanta mart
442300,0,0,0,RON,draft,2021-03-31,balanta mart
442400,19730.09,0,0,RON,draft,2021-03-31,balanta mart
442400,0,0,0,RON,draft,2021-03-31,balanta mart
442600,177967.22,0,0,RON,draft,2021-03-31,balanta mart
442600,0,177967.22,0,RON,draft,2021-03-31,balanta mart
442700,158237.13,0,0,RON,draft,2021-03-31,balanta mart
442700,0,158237.13,0,RON,draft,2021-03-31,balanta mart
442800,149.07,0,0,RON,draft,2021-03-31,balanta mart
442800,0,57.55,0,RON,draft,2021-03-31,balanta mart
444000,2355,0,0,RON,draft,2021-03-31,balanta mart
444000,0,1355,0,RON,draft,2021-03-31,balanta mart
446000,63437,0,0,RON,draft,2021-03-31,balanta mart
446000,0,61291,0,RON,draft,2021-03-31,balanta mart
