Nume,Categorie,Tip_produs,Pret,Vanzare_ok,Achizitie_ok,Unitate,Unitate_achizitie,Taxe,Taxe_achizitie,Descriere
AFINE,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,2
Alb de Petro Vaselo,Bauturi alcoolice ,product,37.8151,ok,ok,Units,Units,TVA deductibil 19% Bunuri,TVA colectat 19% Bunuri,5
Ardei capia conserva,Legume,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,6
Ardei copt,Legume,product,0,ok,ok,kg,kg,TVA colectat 19% Bunuri,TVA deductibil 9% Bunuri,8
Batonash cu alune si cacao 50g,Snacks,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,10
Batonash cu migdale si portocale 50g,Snacks,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,14
Batonash cu unt de arahide 50g,Snacks,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,16
Bere Anagram Best Coast IPA 330ml,Bauturi alcoolice ,product,12.605,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,18
Bere Anagram Big Sur 330ml,Bauturi alcoolice ,product,12.605,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,19
Bere Anagram Chocol�ha Spicy Chocolate Stout 330ml,Bauturi alcoolice ,product,12.605,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,20
Bere Anagram Cinco de Cuatro Baja Lager 330 mL,Bauturi alcoolice ,product,12.605,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,21
Bere Anagram Saison de Citron 330ml,Bauturi alcoolice ,product,12.605,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,22
Boia iute,Ingrediente,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,27
Borcan 212 bonta to 66 (220g),Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,29
Borcan 314 quadro,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,30
Borcan 350 to82,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,31
Borcan amfora,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,33
Borcan hex 196 to58 (GR-200g),Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,34
Borcan patrat 314ml,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,35
Borcan patrat 380ml,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,36
Bulion,Ingrediente,product,0,ok,ok,L,L,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,41
Cabernet Sauvignon 2016 Galicea Mare,Bauturi alcoolice ,product,82.3529,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,42
Cafea Origo 1kg,Cafea ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,45
Caisata Bran 700ml,Bauturi alcoolice ,product,151.2605,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,49
Caise,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,50
Caise jumatati,Fructe ,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,51
Cana ceramica Horezu,Misc,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,53
Capac to82 (borc 350),Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,57
Capac tw 58 (GR-200g),Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,59
Capac tw 66 (220g),Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,60
Capac tw63,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,61
Capac tw63 (314 quadro),Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,62
Capac TW70 (borc380ml),Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,63
Capac twis off 77mm,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,64
Capac twist off 110,Ambalaje,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,65
C?p?unat? Bran 700ml,Bauturi alcoolice ,product,100.8403,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,70
Carassia Spumant Blanc de Blancs 0.75L,Bauturi alcoolice ,product,100.8403,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,71
Cascara de cafe Kofi Ti 100g,Bauturi,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,74
Cascara Lemonade Kofi Ti 330 ml,Bauturi,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,75
Ceai de cimbrisor salbatic Wildbliss Organic 50g,Ceai,product,40.367,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,80
Ceai de flori de soc Wildbliss Organic 50g,Ceai,product,40.367,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,81
Ceai de paducel salbatic Wildbliss Organic 50g,Ceai,product,40.367,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,82
Ceai de urzica salbatica Wildbliss Organic 50g,Ceai,product,40.367,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,83
Ceai din boabe de cacao cu coaja de portocala si scortisoara 100g,Ceai,product,13.7615,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,84
Ceai din boabe de cacao cu flori hibiscus si trandafir 100g,Ceai,product,13.7615,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,85
Ceai din boabe de cacao cu fructe goji si aronia 100g,Ceai,product,13.7615,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,86
Ceai din boabe de cacao cu frunze de rooibos 100g,Ceai,product,13.7615,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,87
Ceai din boabe de cacao cu miere si miere 100g,Ceai,product,0,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,88
Ceapa,Legume,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,89
Ceapa cub,Legume,product,0,ok,ok,kg,kg,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,90
Chardonnay 2016 Galicea Mare,Bauturi alcoolice ,product,57.9832,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,94
Chutney de rosii Bollywood Star by Chef Sosin,Snacks,product,26.6055,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,99
Cidru Abund Berry 330 ml,Bauturi alcoolice ,product,0,ok,ok,Units,Units,TVA colectat 19% Bunuri,TVA deductibil 19% Bunuri,100
Ciocolata Razvan 54% cacao cu lapte 70g,Ciocolata,product,12,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,101
Ciocolata Razvan 54% cacao cu lapte si fistic 80g,Ciocolata,product,18.3394,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,102
Ciocolata Razvan 54% cacao cu lapte si fistic 40g,Ciocolata,product,11,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,103
Ciocolata Razvan  54% cacao cu lapte si nuca prajita 80g,Ciocolata,product,17.422,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,104
Ciocolata Razvan 54% cacao cu lapte si nuca prajita 40g,Ciocolata,product,10.0826,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,105
Ciocolata cu lapte 54% cacao cu sare de mare 70g Razvan,Ciocolata,product,17.422,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,106
Ciocolata cu lapte 54% cacao cu sare de mare mini 30g Razvan,Ciocolata,product,10.0826,ok,ok,Units,Units,TVA colectat 9% Bunuri,TVA deductibil 9% Bunuri,107
